           1           0         197         197   8.00000000    
     2.415     -4.527   120     3     -0.583     0  2112
     5.140     -4.256   121     0     -0.611  2112  2112
     3.602      6.058   122     0     -0.706  2112  2112
    -1.106     -1.374   123     3     -0.777     0  2112
     8.227      4.855   124     0     -0.871  2112  2112
    10.821      1.629   125     0     -0.912  2112  2112
     3.703      4.665   126     0     -0.937  2112  2112
     7.205      2.831   127     0     -0.965  2112  2112
    -1.333      1.382   128     3     -1.004     0  2112
     1.155      0.115   129     3     -1.065     0  2112
    -2.125     -0.325   130     3     -1.146     0  2112
     4.517      5.358   131     0     -1.291  2112  2112
    -2.416     -1.633   132     3     -1.327     0  2112
     7.610     -4.410   133     0     -1.346  2112  2112
     8.581      5.706   134     0     -1.431  2112  2112
     5.434      4.444   135     0     -1.471  2112  2112
     3.481      1.093   136     3     -1.532     0  2112
     5.136      2.982   137     0     -1.560  2112  2112
     1.315     -1.711   138     3     -1.574     0  2112
     2.329     -5.330   139     0     -1.757  2112  2112
     5.307     -0.326   140     0     -1.830  2112  2112
     6.750     -5.365   141     0     -1.842  2112  2112
     3.640      0.041   142     0     -1.853  2112  2112
     3.936     -5.462   143     0     -1.926  2112  2112
     3.121      0.799   144     3     -1.937     0  2112
     3.471     -5.076   145     0     -1.974  2112  2112
    -0.600     -0.428   146     3     -1.974     0  2112
     8.045     -5.747   147     0     -2.076  2112  2112
    -2.473     -4.265   148     3     -2.105     0  2112
    -0.661     -2.822   149     3     -2.147     0  2112
     6.085     -6.534   150     0     -2.191  2112  2112
     4.582     -6.222   151     0     -2.197  2112  2112
    -0.546      0.379   152     3     -2.253     0  2112
     2.753      2.139   153     0     -2.272  2112  2112
     0.280     -0.036   154     3     -2.319     0  2112
     8.366      0.150   155     0     -2.349  2112  2112
     5.094      2.870   156     0     -2.358  2112  2112
     5.624     -4.886   157     0     -2.361  2112  2112
     8.996      2.432   158     0     -2.388  2112  2112
     5.170     -3.546   159     0     -2.417  2112  2112
     6.492     -0.101   160     0     -2.438  2112  2112
     0.994      4.315   161     3     -2.576     0  2112
     1.308      3.889   162     3     -2.623     0  2112
    -0.526      3.332   163     3     -2.711     0  2112
     1.872     -1.955   164     3     -2.765     0  2112
    -1.029      3.864   165     3     -2.981     0  2112
     5.840      0.473   166     0     -3.001  2112  2112
     7.143     -2.412   167     0     -3.089  2112  2112
     2.862      2.650   168     0     -3.129  2112  2112
    -0.060     -4.856   169     3     -3.154     0  2112
     6.213     -3.616   170     0     -3.459  2112  2112
     3.556      3.242   171     0     -3.468  2112  2112
     2.143      6.245   172     3     -3.755     0  2112
     3.933     -4.001   173     0     -3.825  2112  2112
     5.654     -4.203   174     0     -3.827  2112  2112
     1.487     -2.982   175     3     -3.839     0  2112
     3.245      2.933   176     0     -3.847  2112  2112
     2.611      2.749   177     0     -3.969  2112  2112
     0.417      3.993   178     3     -3.993     0  2112
     3.568     -2.075   179     0     -4.056  2112  2112
    -0.328     -3.379   180     3     -4.146     0  2112
     5.074     -2.553   181     0     -4.191  2112  2112
     3.256     -4.018   182     3     -4.283     0  2112
     3.850     -0.805   183     0     -4.307  2112  2112
     0.796     -4.947   184     3     -4.461     0  2112
     3.694      1.359   185     0     -4.760  2112  2112
     5.309     -0.030   186     0     -4.917  2112  2112
     5.317     -3.151   187     0     -5.069  2112  2112
     4.227     -3.912   188     3     -5.261     0  2112
     5.708     -0.927   189     0     -5.592  2112  2112
     3.325     -1.037   190     0     -5.724  2112  2112
     0.813      0.821   191     3     -5.969     0  2112
     2.577     -0.169   192     3     -6.073     0  2112
     7.036     -0.465   193     0     -6.156  2112  2112
     4.724      0.970   194     0     -6.252  2112  2112
     2.911     -2.067   195     0     -6.675  2112  2112
     5.877     -2.831   196     0     -6.924  2112  2112
     4.203     -3.822   197     3     -7.351     0  2112
    -7.222      0.000    -1     0     -8.873  2212  2212
    -4.318     -0.104    -2     3     -6.680     0  2212
    -3.683      2.242    -3     2     -6.497  2212  2212
    -1.360     -0.802    -4     3     -6.372     0  2212
    -3.441      1.493    -5     0     -6.231  2212  2212
    -7.695     -0.198    -6     0     -5.648  2212  2212
    -5.402      3.239    -7     0     -5.377  2212  2212
    -1.246     -0.622    -8     3     -5.204     0  2212
    -3.281     -3.370    -9     0     -5.125  2212  2212
    -5.598      1.864   -10     0     -5.104  2212  2212
    -1.016      4.151   -11     3     -4.979     0  2212
    -7.941      0.483   -12     0     -4.979  2212  2212
    -6.560     -0.612   -13     0     -4.870  2212  2212
    -3.064     -4.840   -14     3     -4.707     0  2212
    -3.097      2.237   -15     0     -4.697  2212  2212
    -4.158     -3.548   -16     3     -4.494     0  2212
    -6.407     -0.658   -17     0     -4.434  2212  2212
    -2.326      4.373   -18     0     -4.221  2212  2212
    -1.291      4.114   -19     3     -4.036     0  2212
    -7.976     -2.187   -20     0     -3.901  2212  2212
    -5.866      3.356   -21     0     -3.899  2212  2212
    -7.873     -2.971   -22     0     -3.887  2212  2212
    -9.507      0.405   -23     0     -3.886  2212  2212
    -3.826     -1.682   -24     0     -3.836  2212  2212
    -9.202     -2.059   -25     0     -3.780  2212  2212
    -2.314      4.814   -26     3     -3.705     0  2212
    -3.571      1.244   -27     0     -3.642  2212  2212
    -4.760      0.488   -28     0     -3.435  2212  2212
    -7.926     -2.829   -29     0     -3.411  2212  2212
    -6.870      2.082   -30     0     -3.376  2212  2212
    -6.295      4.598   -31     0     -3.308  2212  2212
    -6.535     -4.082   -32     0     -3.118  2212  2212
     0.958     -3.858   -33     3     -3.106     0  2212
    -3.492      3.932   -34     3     -3.086     0  2212
    -3.191      5.832   -35     0     -3.035  2212  2212
    -5.752      3.658   -36     0     -2.965  2212  2212
    -7.061      1.105   -37     0     -2.938  2212  2212
     0.541     -0.422   -38     3     -2.786     0  2212
    -8.950      0.255   -39     0     -2.741  2212  2212
    -5.276     -4.414   -40     0     -2.729  2212  2212
    -4.414      1.243   -41     0     -2.529  2212  2212
    -1.469      4.352   -42     3     -2.452     0  2212
    -2.978     -1.181   -43     3     -2.305     0  2212
     0.567      2.582   -44     3     -2.299     0  2212
     0.633      3.322   -45     3     -2.205     0  2212
    -9.604     -2.156   -46     0     -2.120  2212  2212
    -3.877     -0.700   -47     3     -2.090     0  2212
    -4.442      2.129   -48     0     -2.032  2212  2212
    -5.470      1.653   -49     0     -1.990  2212  2212
    -5.007     -4.436   -50     0     -1.977  2212  2212
    -1.730     -2.571   -51     3     -1.930     0  2212
    -1.398     -1.187   -52     3     -1.883     0  2212
    -9.371     -0.771   -53     0     -1.836  2212  2212
    -6.555      3.939   -54     0     -1.788  2212  2212
     0.214     -3.568   -55     3     -1.749     0  2212
    -7.815      0.108   -56     0     -1.733  2212  2212
    -3.084      1.505   -57     3     -1.722     0  2212
    -3.614     -2.631   -58     3     -1.722     0  2212
    -5.657      5.420   -59     0     -1.711  2212  2212
    -5.963     -0.165   -60     0     -1.684  2212  2212
     0.555      5.488   -61     3     -1.682     0  2212
    -4.343     -4.533   -62     3     -1.639     0  2212
    -4.555      7.338   -63     0     -1.548  2212  2212
    -0.515     -2.052   -64     3     -1.519     0  2212
    -2.146      3.530   -65     3     -1.489     0  2212
    -0.420      3.317   -66     3     -1.194     0  2212
    -7.902     -0.251   -67     0     -1.109  2212  2212
     0.742      5.228   -68     3     -1.052     0  2212
    -5.371     -6.468   -69     0     -1.011  2212  2212
   -10.479     -0.244   -70     0     -0.996  2212  2212
    -4.710     -1.617   -71     0     -0.973  2212  2212
    -3.549     -5.370   -72     0     -0.951  2212  2212
    -4.429      0.943   -73     0     -0.905  2212  2212
    -8.839      2.255   -74     0     -0.860  2212  2212
    -9.361     -3.207   -75     0     -0.846  2212  2212
    -3.028      2.907   -76     0     -0.799  2212  2212
    -5.591      2.706   -77     0     -0.771  2212  2212
    -5.054     -6.042   -78     0     -0.723  2212  2212
    -1.631      0.273   -79     3     -0.621     0  2212
    -2.077      0.799   -80     3     -0.509     0  2112
   -10.742      1.598   -81     0     -0.465  2112  2112
    -7.186      4.970   -82     0     -0.438  2112  2112
    -1.626     -2.947   -83     3     -0.426     0  2112
     0.457      2.918   -84     3     -0.423     0  2112
    -6.687      2.848   -85     0     -0.401  2112  2112
    -1.411     -5.952   -86     0     -0.256  2112  2112
    -3.405     -0.262   -87     0     -0.171  2112  2112
    -0.268     -2.416   -88     3     -0.151     0  2112
    -5.975     -4.688   -89     0     -0.091  2112  2112
    -1.528     -3.225   -90     3      0.017     0  2112
    -4.313     -2.637   -91     0      0.039  2112  2112
    -2.824      0.417   -92     3      0.046     0  2112
    -2.695      2.013   -93     0      0.067  2112  2112
    -7.597      2.149   -94     0      0.119  2112  2112
     2.785      0.631   -95     3      0.171     0  2112
    -5.669     -3.489   -96     0      0.190  2112  2112
    -3.304      1.740   -97     0      0.227  2112  2112
    -3.139      0.559   -98     0      0.249  2112  2112
    -2.639     -1.262   -99     3      0.345     0  2112
    -8.405      2.768  -100     0      0.374  2112  2112
    -5.070     -1.699  -101     0      0.541  2112  2112
    -5.951      4.018  -102     0      0.638  2112  2112
    -1.930     -4.458  -103     3      0.665     0  2112
     1.610      4.339  -104     3      0.788     0  2112
    -4.367     -2.364  -105     0      0.818  2112  2112
    -6.190     -0.688  -106     0      0.896  2112  2112
    -4.804      0.312  -107     0      0.902  2112  2112
    -6.784      3.113  -108     0      1.107  2112  2112
    -8.756      1.416  -109     0      1.124  2112  2112
    -6.639      2.298  -110     0      1.140  2112  2112
    -1.543     -4.674  -111     3      1.166     0  2112
    -5.522     -4.708  -112     0      1.184  2112  2112
    -4.631     -0.109  -113     0      1.218  2112  2112
    -2.901     -4.662  -114     3      1.288     0  2112
     0.073     -5.304  -115     3      1.316     0  2112
    -2.511      3.761  -116     0      1.324  2112  2112
    -7.855      0.873  -117     0      1.397  2112  2112
    -2.857      0.998  -118     3      1.422     0  2112
     1.537     -3.468  -119     3      1.430     0  2112
    -8.583     -2.186  -120     0      1.449  2112  2112
     1.861      0.335  -121     3      1.456     0  2112
    -0.636      3.142  -122     3      1.470     0  2112
    -9.858      3.658  -123     0      1.524  2112  2112
    -7.123      0.949  -124     0      1.557  2112  2112
    -6.597     -1.968  -125     0      1.567  2112  2112
    -6.803      2.211  -126     0      1.657  2112  2112
    -3.387      4.271  -127     0      1.706  2112  2112
    -1.137      1.413  -128     3      1.830     0  2112
    -4.133      1.203  -129     0      1.847  2112  2112
    -8.463      1.232  -130     0      1.951  2112  2112
    -0.077     -1.692  -131     3      1.968     0  2112
    -2.411     -6.319  -132     0      2.000  2112  2112
    -0.003      0.050  -133     3      2.094     0  2112
    -0.768      2.551  -134     3      2.138     0  2112
    -9.494     -0.271  -135     0      2.188  2112  2112
    -2.384      1.351  -136     3      2.192     0  2112
    -5.926      5.108  -137     0      2.289  2112  2112
     0.679     -2.803  -138     3      2.301     0  2112
    -1.135      2.929  -139     3      2.311     0  2112
    -7.047     -4.383  -140     0      2.408  2112  2112
    -6.190      4.310  -141     0      2.424  2112  2112
    -3.857      6.891  -142     0      2.489  2112  2112
    -5.539      3.067  -143     0      2.518  2112  2112
    -1.003      6.194  -144     0      2.519  2112  2112
    -8.421      1.906  -145     0      2.601  2112  2112
    -0.706      2.514  -146     3      2.608     0  2112
    -6.844     -0.400  -147     0      2.692  2112  2112
     0.055     -1.240  -148     3      2.694     0  2112
     0.220      2.022  -149     3      2.711     0  2112
    -7.823      0.609  -150     0      2.784  2112  2112
    -6.052     -4.634  -151     0      2.804  2112  2112
    -4.128     -7.517  -152     0      2.827  2112  2112
    -5.545     -0.914  -153     0      2.840  2112  2112
    -7.268     -6.052  -154     0      2.877  2112  2112
    -3.174      0.777  -155     1      2.889  2112  2112
    -5.856      4.337  -156     0      2.897  2112  2112
    -5.113     -0.651  -157     0      3.033  2112  2112
    -0.655      0.667  -158     3      3.050     0  2112
    -3.194     -7.353  -159     0      3.130  2112  2112
    -4.697     -1.868  -160     0      3.169  2112  2112
    -5.749      5.212  -161     0      3.214  2112  2112
    -6.539     -1.955  -162     0      3.267  2112  2112
    -7.801      1.045  -163     0      3.317  2112  2112
    -3.523     -2.542  -164     3      3.380     0  2112
    -2.459      1.618  -165     3      3.395     0  2112
    -5.967      0.082  -166     0      3.482  2112  2112
    -2.986     -4.674  -167     0      3.596  2112  2112
    -0.583     -2.015  -168     3      3.676     0  2112
    -1.990     -3.901  -169     3      3.681     0  2112
    -6.329      2.359  -170     0      3.689  2112  2112
    -6.117      3.748  -171     0      3.779  2112  2112
    -2.831     -3.754  -172     3      3.806     0  2112
    -4.424      1.143  -173     0      3.810  2112  2112
    -0.544      4.169  -174     3      3.814     0  2112
    -5.839     -2.477  -175     0      3.884  2112  2112
    -0.309      0.716  -176     3      3.887     0  2112
    -1.451      1.153  -177     3      3.940     0  2112
     0.139      1.978  -178     3      4.038     0  2112
    -4.585     -3.918  -179     0      4.138  2112  2112
    -2.858     -0.348  -180     3      4.152     0  2112
    -3.263      3.353  -181     3      4.178     0  2112
    -5.447      0.986  -182     0      4.228  2112  2112
    -7.918      1.995  -183     0      4.245  2112  2112
    -4.754     -1.102  -184     0      4.310  2112  2112
    -1.720     -1.216  -185     3      4.383     0  2112
    -4.651      1.263  -186     0      4.618  2112  2112
    -5.894     -2.561  -187     0      4.683  2112  2112
    -3.857      1.059  -188     0      5.301  2112  2112
    -4.524      0.964  -189     0      5.361  2112  2112
    -6.301     -1.685  -190     0      5.765  2112  2112
    -5.092     -3.110  -191     0      5.966  2112  2112
    -3.480      2.615  -192     0      6.064  2112  2112
     0.039      0.665  -193     3      6.078     0  2112
    -2.089     -1.830  -194     3      6.489     0  2112
    -5.658     -4.423  -195     0      6.732  2112  2112
    -5.907      2.489  -196     0      7.741  2112  2112
    -4.447     -1.540  -197     0      9.108  2112  2112
